day,start_time,awayteam,hometeam,awayscore,homescore,wl
Monday,708,MIN,ANA,3,6,1
Tuesday,708,MIN,ANA,5,3,0
Wednesday,708,MIN,ANA,4,2,0
Thursday,707,MIN,ANA,10,1,0
Friday,708,OAK,ANA,10,4,0
Saturday,607,OAK,ANA,3,4,1
Sunday,1238,OAK,ANA,9,4,0
Monday,708,DET,ANA,0,2,1
Tuesday,709,DET,ANA,5,6,1
Wednesday,707,DET,ANA,4,3,0
Thursday,708,DET,ANA,5,4,0
Friday,708,NYA,ANA,4,6,1
Saturday,111,NYA,ANA,7,1,0
Sunday,1236,NYA,ANA,4,8,1
Monday,708,CLE,ANA,2,5,1
Tuesday,707,CLE,ANA,9,2,0
Wednesday,406,CLE,ANA,3,4,1
Monday,709,TBA,ANA,4,5,1
Tuesday,707,TBA,ANA,7,2,0
Wednesday,408,TBA,ANA,4,3,0
Friday,708,OAK,ANA,0,4,1
Saturday,608,OAK,ANA,3,12,1
Sunday,1237,OAK,ANA,0,4,1
Monday,708,TOR,ANA,6,0,0
Tuesday,708,TOR,ANA,3,8,1
Wednesday,408,TOR,ANA,5,6,1
Friday,708,SEA,ANA,8,3,0
Saturday,110,SEA,ANA,1,5,1
Sunday,1238,SEA,ANA,7,9,1
Monday,709,MIL,ANA,12,2,0
Tuesday,706,MIL,ANA,7,1,0
Wednesday,408,MIL,ANA,1,5,1
Tuesday,709,LAN,ANA,3,6,1
Wednesday,707,LAN,ANA,1,2,1
Thursday,708,LAN,ANA,10,6,0
Friday,708,COL,ANA,4,3,0
Saturday,708,COL,ANA,2,4,1
Sunday,1236,COL,ANA,3,10,1
Tuesday,707,TEX,ANA,5,6,1
Wednesday,708,TEX,ANA,6,4,0
Thursday,707,TEX,ANA,1,2,1
Friday,708,KCA,ANA,2,1,0
Saturday,606,KCA,ANA,4,2,0
Sunday,512,KCA,ANA,0,11,1
Thursday,708,SEA,ANA,3,8,1
Friday,707,SEA,ANA,2,3,1
Saturday,607,SEA,ANA,6,7,1
Sunday,1237,SEA,ANA,2,1,0
Monday,707,BOS,ANA,6,3,0
Tuesday,708,BOS,ANA,4,2,0
Wednesday,1238,BOS,ANA,7,3,0
Friday,707,TEX,ANA,7,9,1
Saturday,607,TEX,ANA,2,1,0
Sunday,1238,TEX,ANA,1,4,1
Monday,707,KCA,ANA,4,6,1
Tuesday,707,KCA,ANA,1,3,1
Wednesday,1238,KCA,ANA,1,2,1
Friday,708,TOR,ANA,3,0,0
Saturday,607,TOR,ANA,2,7,1
Sunday,1238,TOR,ANA,4,1,0
Monday,707,TBA,ANA,4,3,0
Tuesday,708,TBA,ANA,10,3,0
Wednesday,1237,TBA,ANA,3,12,1
Friday,707,BAL,ANA,3,1,0
Saturday,606,BAL,ANA,5,0,0
Sunday,1237,BAL,ANA,1,0,0
Monday,607,CLE,ANA,3,2,0
Tuesday,709,CLE,ANA,6,1,0
Wednesday,406,CLE,ANA,3,4,1
Friday,708,SEA,ANA,3,4,1
Saturday,607,SEA,ANA,4,7,1
Sunday,1237,SEA,ANA,0,3,1
Monday,707,TEX,ANA,4,7,1
Tuesday,706,TEX,ANA,0,2,1
Wednesday,707,TEX,ANA,2,1,0
Friday,708,CHA,ANA,2,1,0
Saturday,607,CHA,ANA,6,2,0
Sunday,1238,CHA,ANA,4,3,0
Monday,707,OAK,ANA,5,6,1
Tuesday,707,OAK,ANA,2,4,1
Wednesday,1236,OAK,ANA,1,2,1
Friday,707,TOR,ANA,3,2,0
Saturday,607,TOR,ANA,5,6,1
Sunday,1236,TOR,ANA,1,3,1
Monday,707,CLE,ANA,4,0,0
Tuesday,706,CLE,ANA,0,2,1
